monthly_income,family_size,earning_members,housing_type,land_area,employment_type,vehicle_owned,tax_paid,region_type,label
0,2,0,other,1.9,daily_wage,0,0,urban,PHH
0,2,0,other,1.5,homemaker,0,0,urban,PHH
0,5,0,other,5.0,homemaker,0,0,rural,PHH
0,4,0,other,1.5,homemaker,0,0,urban,PHH
0,4,0,other,1.5,homemaker,0,0,urban,PHH
0,2,0,other,2.3,unemployed,0,0,urban,PHH
0,1,0,other,2.15,unemployed,0,0,urban,PHH
0,2,0,other,4.0,homemaker,0,0,urban,PHH
0,4,0,other,2.0,student,0,0,urban,PHH
0,4,0,other,0.0,unemployed,0,0,urban,PHH
0,4,0,other,2.1,unemployed,0,0,urban,PHH
0,4,0,other,0.0,unemployed,0,0,urban,PHH
0,2,0,dilapidated,6.0,unemployed,0,0,urban,PHH
0,3,0,dilapidated,18.5,homemaker,0,0,urban,PHH
0,3,0,other,2.0,homemaker,0,0,urban,PHH
0,1,0,dilapidated,3.0,homemaker,0,0,rural,PHH
0,4,0,other,3.0,unemployed,0,0,urban,PHH
0,2,0,dilapidated,3.0,homemaker,0,0,urban,PHH
0,2,0,dilapidated,6.0,unemployed,0,0,urban,PHH
0,4,0,other,4.0,unemployed,0,0,urban,PHH
0,4,0,dilapidated,2.0,homemaker,0,0,rural,PHH
0,1,0,other,3.0,unemployed,0,0,urban,PHH
0,3,0,other,4.0,homemaker,0,0,urban,PHH
0,4,0,other,4.0,unemployed,0,0,urban,PHH
0,1,0,dilapidated,2.5,homemaker,0,0,urban,PHH
0,5,0,other,3.0,homemaker,0,0,urban,PHH
0,3,0,other,6.6,homemaker,0,0,urban,PHH
0,2,0,other,1.85,unemployed,0,0,urban,PHH
0,2,0,other,4.0,homemaker,0,0,urban,PHH
0,3,0,other,1.85,unemployed,0,0,urban,PHH
0,5,0,other,3.0,homemaker,0,0,urban,PHH
0,4,0,dilapidated,0.0,homemaker,0,0,rural,PHH
0,1,0,other,61.0,unemployed,0,0,urban,PHH
0,5,0,other,2.0,unemployed,0,0,urban,PHH
0,1,0,other,2.0,unemployed,0,0,urban,PHH
0,2,0,other,5.0,unemployed,0,0,urban,PHH
0,1,0,dilapidated,2.0,homemaker,0,0,urban,PHH
0,2,0,other,3.0,homemaker,0,0,urban,PHH
0,4,0,other,1.65,homemaker,0,0,urban,PHH
0,1,0,other,0.0,homemaker,0,0,urban,PHH
0,1,0,other,3.0,unemployed,0,0,urban,PHH
0,1,0,other,2.5,unemployed,0,0,urban,PHH
0,1,0,other,4.0,unemployed,0,0,rural,PHH
0,1,0,other,10.0,unemployed,0,0,urban,PHH
0,3,0,dilapidated,1.0,unemployed,0,0,urban,PHH
0,1,0,dilapidated,2.0,homemaker,0,0,urban,PHH
0,1,0,dilapidated,2.0,homemaker,0,0,urban,PHH
0,5,0,other,5.0,unemployed,0,0,urban,PHH
0,3,0,other,3.5,unemployed,0,0,urban,PHH
0,3,0,dilapidated,6.0,homemaker,0,0,urban,PHH
0,3,0,other,4.0,homemaker,0,0,urban,PHH
0,3,0,other,0.0,homemaker,0,0,urban,PHH
0,1,0,other,1.15,unemployed,0,0,urban,PHH
0,2,0,other,3.5,student,0,0,urban,PHH
0,3,0,other,0.0,homemaker,0,0,urban,PHH
0,2,0,other,3.5,unemployed,0,0,urban,PHH
0,5,0,other,2.0,homemaker,0,0,urban,PHH
0,4,0,other,3.0,unemployed,0,0,urban,PHH
0,1,0,other,3.0,daily_wage,0,0,urban,PHH
0,3,0,dilapidated,3.0,daily_wage,0,0,urban,PHH
0,1,0,dilapidated,3.0,unemployed,0,0,urban,PHH
0,4,0,other,4.0,unemployed,0,0,urban,PHH
0,1,0,other,5.0,unemployed,0,0,urban,PHH
0,1,0,other,4.0,unemployed,0,0,urban,PHH
0,4,0,thatched,5.0,unemployed,0,0,urban,PHH
0,3,0,dilapidated,2.5,unemployed,0,0,urban,PHH
0,1,0,other,1.5,unemployed,0,0,urban,PHH
0,3,0,other,0.0,unemployed,0,0,urban,PHH
0,3,0,other,0.0,daily_wage,0,0,urban,PHH
0,4,0,other,3.5,unemployed,0,0,urban,PHH
0,2,0,other,5.2,unemployed,0,0,urban,PHH
0,1,0,other,1.5,homemaker,0,0,urban,PHH
0,1,0,dilapidated,3.0,unemployed,0,0,urban,PHH
0,2,0,other,2.0,homemaker,0,0,urban,PHH
0,1,0,dilapidated,4.0,homemaker,0,0,urban,PHH
0,6,0,other,1.0,homemaker,0,0,urban,PHH
0,5,0,other,3.0,unemployed,0,0,urban,PHH
0,3,0,other,2.5,unemployed,0,0,urban,PHH
0,3,0,other,5.0,homemaker,0,0,urban,PHH
0,4,0,other,3.0,homemaker,0,0,urban,PHH
0,1,0,other,4.5,unemployed,0,0,urban,PHH
0,2,0,dilapidated,0.0,unemployed,0,0,urban,PHH
0,1,0,other,8.0,daily_wage,0,0,urban,PHH
0,1,0,other,10.0,homemaker,0,0,urban,PHH
0,5,0,other,1.5,homemaker,0,0,urban,PHH
0,3,0,other,4.0,homemaker,0,0,urban,PHH
0,6,0,dilapidated,0.0,unemployed,0,0,urban,PHH
0,1,0,dilapidated,0.0,unemployed,0,0,urban,PHH
0,5,0,other,3.0,unemployed,0,0,urban,PHH
0,4,0,dilapidated,0.0,other,0,0,urban,PHH
0,1,0,other,2.0,homemaker,0,0,urban,PHH
0,3,0,dilapidated,0.0,unemployed,0,0,urban,PHH
0,2,0,other,1.5,homemaker,0,0,urban,PHH
0,10,0,other,0.0,homemaker,0,0,urban,PHH
0,4,0,dilapidated,2.15,homemaker,0,0,urban,PHH
0,3,0,other,0.0,unemployed,0,0,urban,PHH
0,1,0,other,4.2,homemaker,0,0,urban,PHH
0,4,0,other,2.5,unemployed,0,0,urban,PHH
0,3,0,other,4.0,unemployed,0,0,urban,PHH
0,1,0,other,5.5,homemaker,0,0,urban,PHH
0,1,0,dilapidated,4.3,unemployed,0,0,rural,PHH
0,7,0,other,8.0,unemployed,0,0,urban,PHH
0,3,0,dilapidated,4.0,homemaker,0,0,urban,PHH
0,1,0,other,3.0,unemployed,0,0,urban,PHH
0,4,0,dilapidated,3.0,unemployed,0,0,urban,PHH
0,3,0,other,5.0,unemployed,0,0,rural,PHH
0,5,0,dilapidated,4.5,homemaker,0,0,urban,PHH
0,1,0,other,3.0,homemaker,0,0,urban,PHH
0,5,0,other,4.0,homemaker,0,0,urban,PHH
0,5,0,dilapidated,9.0,homemaker,0,0,urban,PHH
0,4,0,other,2.4,homemaker,0,0,urban,PHH
0,4,0,dilapidated,3.0,homemaker,0,0,urban,PHH
0,4,0,other,0.0,unemployed,0,0,urban,PHH
0,2,0,other,3.0,homemaker,0,0,urban,PHH
0,2,0,other,0.0,unemployed,0,0,urban,PHH
0,4,0,dilapidated,7.0,unemployed,0,0,urban,PHH
0,1,0,other,4.0,unemployed,0,0,rural,PHH
0,2,0,other,4.0,homemaker,0,0,urban,PHH
0,4,0,other,10.0,unemployed,0,0,urban,PHH
0,3,0,dilapidated,0.0,unemployed,0,0,urban,PHH
0,3,0,other,5.5,homemaker,0,0,urban,PHH
0,4,0,other,18.0,homemaker,0,0,rural,PHH
0,5,0,other,3.0,unemployed,0,0,urban,PHH
0,7,0,dilapidated,5.0,homemaker,0,0,urban,PHH
0,5,0,other,1.5,homemaker,0,0,urban,PHH
0,2,0,other,10.0,daily_wage,0,0,urban,PHH
0,2,0,dilapidated,2.0,homemaker,0,0,urban,PHH
0,4,0,other,3.0,unemployed,0,0,rural,PHH
0,1,0,dilapidated,2.5,homemaker,0,0,urban,PHH
0,1,0,other,3.0,daily_wage,0,0,urban,PHH
0,5,0,other,9.0,homemaker,0,0,rural,PHH
0,4,0,other,5.0,unemployed,0,0,urban,PHH
0,5,0,other,2.25,unemployed,0,0,urban,PHH
0,3,0,other,7.5,homemaker,0,0,urban,PHH
0,1,0,other,8.0,unemployed,0,0,urban,PHH
0,4,0,other,0.0,unemployed,0,0,urban,PHH
0,3,0,other,7.0,homemaker,0,0,urban,PHH
0,3,0,other,6.0,unemployed,0,0,urban,PHH
0,3,0,other,5.0,unemployed,0,0,urban,PHH
0,2,0,other,0.0,unemployed,0,0,urban,PHH
0,4,0,dilapidated,1.5,unemployed,0,0,urban,PHH
0,4,0,other,0.0,unemployed,0,0,urban,PHH
0,3,0,other,4.0,unemployed,0,0,rural,PHH
0,2,0,other,2.5,daily_wage,0,0,urban,PHH
0,1,0,dilapidated,2.5,homemaker,0,0,urban,PHH
0,1,0,other,0.0,homemaker,0,0,urban,PHH
0,1,0,dilapidated,4.0,homemaker,0,0,urban,PHH
0,2,0,other,3.0,unemployed,0,0,urban,PHH
0,4,0,other,4.0,unemployed,0,0,urban,PHH
0,2,0,other,1.5,unemployed,0,0,urban,PHH
0,2,0,other,0.0,unemployed,0,0,urban,PHH
0,5,0,other,6.25,unemployed,0,0,rural,PHH
0,5,0,other,7.0,homemaker,0,0,rural,PHH
0,1,0,other,3.0,homemaker,0,0,urban,PHH
0,3,0,other,7.0,unemployed,0,0,urban,PHH
0,5,0,other,3.0,unemployed,0,0,urban,PHH
0,2,0,other,5.0,homemaker,0,0,urban,PHH
0,2,0,other,7.4,unemployed,0,0,rural,PHH
0,1,0,dilapidated,0.0,homemaker,0,0,urban,PHH
0,4,0,other,5.0,unemployed,0,0,urban,PHH
0,1,0,other,10.0,homemaker,0,0,rural,PHH
0,3,0,other,4.5,unemployed,0,0,urban,PHH
0,1,0,other,3.0,unemployed,0,0,urban,PHH
0,2,0,other,2.5,homemaker,0,0,urban,PHH
0,6,0,other,1.65,unemployed,0,0,urban,PHH
0,3,0,dilapidated,0.0,unemployed,0,0,urban,PHH
0,2,0,other,0.0,homemaker,0,0,urban,PHH
0,3,0,hut,0.0,unemployed,0,0,urban,PHH
0,4,0,other,0.94,daily_wage,0,0,urban,PHH
0,2,0,dilapidated,7.0,homemaker,0,0,urban,PHH
0,2,0,other,3.0,daily_wage,0,0,urban,PHH
0,2,0,dilapidated,3.75,homemaker,0,0,urban,PHH
0,1,0,other,5.5,unemployed,0,0,urban,PHH
0,6,0,other,10.5,unemployed,0,0,urban,PHH
0,4,0,other,5.0,homemaker,0,0,urban,PHH
0,4,0,other,4.0,unemployed,0,0,urban,PHH
0,3,0,other,0.0,homemaker,0,0,urban,PHH
0,2,0,other,1.0,homemaker,0,0,urban,PHH
0,3,0,other,3.0,homemaker,0,0,urban,PHH
0,4,0,dilapidated,4.0,homemaker,0,0,urban,PHH
0,4,0,other,3.0,unemployed,0,0,urban,PHH
0,2,0,dilapidated,1.5,other,0,0,urban,PHH
0,2,0,other,1.5,homemaker,0,0,urban,PHH
0,1,0,other,2.5,homemaker,0,0,urban,PHH
0,2,0,other,4.0,unemployed,0,0,rural,PHH
0,1,0,other,0.0,unemployed,0,0,urban,PHH
0,2,0,other,5.0,unemployed,0,0,urban,PHH
0,2,0,dilapidated,2.25,homemaker,0,0,urban,PHH
0,2,0,other,2.0,daily_wage,0,0,urban,PHH
0,4,0,other,2.0,unemployed,0,0,urban,PHH
0,5,0,other,2.0,homemaker,0,0,urban,PHH
0,2,0,other,3.0,unemployed,0,0,urban,PHH
0,5,0,other,5.0,homemaker,0,0,urban,PHH
0,1,0,other,2.2,unemployed,0,0,urban,PHH
0,4,0,dilapidated,2.0,homemaker,0,0,urban,PHH
0,3,0,other,2.0,unemployed,0,0,urban,PHH
0,3,0,dilapidated,0.0,unemployed,0,0,urban,PHH
0,1,0,other,0.0,homemaker,0,0,urban,PHH
0,2,0,dilapidated,0.0,homemaker,0,0,rural,PHH
0,4,0,other,0.0,unemployed,0,0,urban,PHH
0,1,0,dilapidated,0.0,unemployed,0,0,urban,PHH
0,2,0,other,1.15,homemaker,0,0,urban,PHH
0,2,0,other,7.0,unemployed,0,0,urban,PHH
0,7,0,other,4.5,unemployed,0,0,urban,PHH
0,7,0,other,3.5,unemployed,0,0,urban,PHH
0,2,0,other,3.0,homemaker,0,0,urban,PHH
0,1,0,other,9.0,unemployed,0,0,urban,PHH
0,1,0,other,0.0,unemployed,0,0,urban,PHH
0,1,0,dilapidated,2.0,unemployed,0,0,urban,PHH
0,2,0,other,3.0,unemployed,0,0,urban,PHH
0,1,0,other,2.0,unemployed,0,0,urban,PHH
0,1,0,other,5.0,homemaker,0,0,urban,PHH
0,3,0,other,5.0,unemployed,0,0,urban,PHH
0,3,0,other,2.0,unemployed,0,0,urban,PHH
0,5,0,other,0.0,unemployed,0,0,urban,PHH
0,1,0,dilapidated,1.5,homemaker,0,0,urban,PHH
0,2,0,other,5.0,not_applicable,0,0,urban,PHH
0,5,0,other,9.0,unemployed,0,0,urban,PHH
0,2,0,other,3.0,unemployed,0,0,urban,PHH
0,3,0,other,4.0,daily_wage,0,0,urban,PHH
0,2,0,thatched,5.0,homemaker,0,0,rural,PHH
0,5,0,other,2.0,homemaker,0,0,urban,PHH
0,6,0,other,3.5,homemaker,0,0,urban,PHH
0,3,0,other,9.0,unemployed,0,0,urban,PHH
0,1,0,other,5.5,unemployed,0,0,urban,PHH
0,3,0,other,5.0,homemaker,0,0,rural,PHH
0,4,0,other,3.0,unemployed,0,0,urban,PHH
0,4,0,other,5.0,unemployed,0,0,urban,PHH
0,4,0,other,0.45,homemaker,0,0,urban,PHH
0,1,0,other,4.0,homemaker,0,0,urban,PHH
0,3,0,other,3.0,homemaker,0,0,urban,PHH
0,3,0,other,4.16,homemaker,0,0,rural,PHH
0,2,0,other,2.0,homemaker,0,0,urban,PHH
0,1,0,other,10.0,daily_wage,0,0,urban,PHH
0,3,0,dilapidated,4.0,unemployed,0,0,urban,PHH
0,4,0,other,3.5,homemaker,0,0,urban,PHH
0,3,0,other,3.0,homemaker,0,0,rural,PHH
0,1,0,other,1.0,unemployed,0,0,urban,PHH
0,3,0,other,5.0,unemployed,0,0,rural,PHH
0,1,0,other,4.0,unemployed,0,0,urban,PHH
0,1,0,other,2.0,daily_wage,0,0,rural,PHH
0,7,0,other,4.0,unemployed,0,0,urban,PHH
0,5,0,other,3.0,unemployed,0,0,rural,PHH
0,2,0,other,4.0,unemployed,0,0,urban,PHH
0,2,0,other,3.0,unemployed,0,0,urban,PHH
0,4,0,other,4.5,unemployed,0,0,urban,PHH
0,2,0,other,4.0,homemaker,0,0,rural,PHH
0,5,0,other,5.0,unemployed,0,0,urban,PHH
0,2,0,other,3.75,homemaker,0,0,rural,PHH
0,4,0,other,1.2,unemployed,0,0,urban,PHH
0,3,0,other,9.0,homemaker,0,0,rural,PHH
0,3,0,other,4.0,homemaker,0,0,rural,PHH
0,1,0,other,5.0,unemployed,0,0,rural,PHH
0,2,0,dilapidated,5.0,homemaker,0,0,rural,PHH
0,2,0,other,8.0,homemaker,0,0,urban,PHH
0,1,0,other,3.0,unemployed,0,0,urban,PHH
0,2,0,other,2.6,unemployed,0,0,urban,PHH
0,5,0,other,8.5,unemployed,0,0,rural,PHH
0,4,0,dilapidated,5.0,unemployed,0,0,rural,PHH
0,2,0,other,4.0,homemaker,0,0,urban,PHH
0,1,0,other,4.0,unemployed,0,0,rural,PHH
0,1,0,other,17.0,unemployed,0,0,urban,PHH
0,3,0,other,1.25,unemployed,0,0,urban,PHH
0,1,0,other,5.5,unemployed,0,0,rural,PHH
0,1,0,dilapidated,4.0,homemaker,0,0,urban,PHH
0,5,0,dilapidated,4.0,unemployed,0,0,rural,PHH
0,1,0,dilapidated,4.0,homemaker,0,0,urban,PHH
0,4,0,other,4.0,homemaker,0,0,urban,PHH
0,1,0,other,2.5,homemaker,0,0,urban,PHH
0,4,0,dilapidated,0.0,daily_wage,0,0,urban,PHH
0,4,0,other,1.75,unemployed,0,0,urban,PHH
0,7,0,other,2.5,unemployed,0,0,urban,PHH
0,2,0,other,7.5,unemployed,0,0,urban,PHH
0,3,0,other,4.0,unemployed,0,0,urban,PHH
0,2,0,other,2.0,unemployed,0,0,urban,PHH
0,2,0,other,6.0,unemployed,0,0,urban,PHH
0,1,0,other,12.0,homemaker,0,0,urban,PHH
0,4,0,other,2.0,homemaker,0,0,urban,PHH
0,1,0,other,6.0,homemaker,0,0,urban,PHH
0,2,0,other,3.5,unemployed,0,0,urban,PHH
0,2,0,other,2.0,unemployed,0,0,urban,PHH
0,2,0,dilapidated,0.0,homemaker,0,0,urban,PHH
0,1,0,dilapidated,0.0,homemaker,0,0,urban,PHH
0,2,0,other,5.0,unemployed,0,0,urban,PHH
0,4,0,other,0.0,unemployed,0,0,urban,PHH
0,3,0,hut,0.0,homemaker,0,0,urban,PHH
0,2,0,other,6.0,unemployed,0,0,urban,PHH
0,1,0,other,3.0,homemaker,0,0,rural,PHH
0,3,0,other,1.5,daily_wage,0,0,urban,PHH
0,2,0,other,7.0,homemaker,0,0,urban,PHH
0,5,0,other,2.75,homemaker,0,0,urban,PHH
0,1,0,other,3.86,unemployed,0,0,rural,PHH
0,1,0,other,6.0,unemployed,0,0,urban,PHH
0,5,0,hut,4.0,homemaker,0,0,rural,PHH
0,3,0,other,2.0,unemployed,0,0,rural,PHH
0,3,0,other,3.5,unemployed,0,0,rural,PHH
0,1,0,other,3.5,homemaker,0,0,rural,PHH
0,2,0,other,4.0,homemaker,0,0,rural,PHH
0,1,0,other,3.0,homemaker,0,0,rural,PHH
0,1,0,other,2.5,daily_wage,0,0,rural,PHH
0,2,0,other,8.0,homemaker,0,0,rural,PHH
0,1,0,other,2.0,homemaker,0,0,rural,PHH
0,5,0,other,18.0,homemaker,0,0,rural,PHH
0,1,0,dilapidated,6.0,homemaker,0,0,rural,PHH
0,4,0,other,6.5,homemaker,0,0,rural,PHH
0,2,0,other,4.5,homemaker,0,0,rural,PHH
0,2,0,dilapidated,7.0,homemaker,0,0,rural,PHH
0,4,0,other,5.5,homemaker,0,0,rural,PHH
0,6,0,other,7.0,unemployed,0,0,rural,PHH
0,1,0,other,3.0,unemployed,0,0,rural,PHH
0,4,0,other,5.0,unemployed,0,0,rural,PHH
0,5,0,dilapidated,2.0,homemaker,0,0,rural,PHH
0,4,0,other,5.0,daily_wage,0,0,rural,PHH
0,1,0,dilapidated,2.5,homemaker,0,0,rural,PHH
0,3,0,other,4.0,homemaker,0,0,rural,PHH
0,1,0,dilapidated,15.0,homemaker,0,0,rural,PHH
0,5,0,dilapidated,3.5,unemployed,0,0,rural,PHH
0,2,0,other,3.0,homemaker,0,0,rural,PHH
0,1,0,other,6.0,homemaker,0,0,rural,PHH
0,1,0,other,1.5,unemployed,0,0,rural,PHH
0,2,0,other,4.0,homemaker,0,0,rural,PHH
0,3,0,other,6.0,homemaker,0,0,rural,PHH
0,4,0,other,6.5,daily_wage,0,0,rural,PHH
0,1,0,other,5.0,homemaker,0,0,rural,PHH
0,1,0,dilapidated,10.0,homemaker,0,0,rural,PHH
0,2,0,other,5.0,unemployed,0,0,rural,PHH
0,5,0,dilapidated,2.5,daily_wage,0,0,rural,PHH
0,4,0,other,30.0,unemployed,0,0,rural,PHH
0,1,0,other,16.0,unemployed,0,0,rural,PHH
0,2,0,other,2.5,homemaker,0,0,rural,PHH
0,5,0,other,5.0,unemployed,0,0,rural,PHH
0,2,0,dilapidated,4.0,homemaker,0,0,rural,PHH
0,1,0,other,4.0,unemployed,0,0,rural,PHH
0,5,0,dilapidated,5.0,unemployed,0,0,rural,PHH
0,5,0,dilapidated,3.0,homemaker,0,0,rural,PHH
0,1,0,dilapidated,5.0,daily_wage,0,0,rural,PHH
0,4,0,dilapidated,3.0,unemployed,0,0,rural,PHH
0,2,0,dilapidated,6.0,homemaker,0,0,rural,PHH
0,1,0,dilapidated,4.0,unemployed,0,0,rural,PHH
0,1,0,other,2.0,daily_wage,0,0,rural,PHH
0,4,0,other,10.0,homemaker,0,0,rural,PHH
0,1,0,other,8.0,homemaker,0,0,rural,PHH
0,2,0,other,3.0,daily_wage,0,0,rural,PHH
0,2,0,dilapidated,16.0,homemaker,0,0,rural,PHH
0,1,0,other,3.0,unemployed,0,0,rural,PHH
0,1,0,other,12.0,daily_wage,0,0,rural,PHH
0,3,0,dilapidated,2.0,homemaker,0,0,rural,PHH
0,1,0,other,8.5,homemaker,0,0,rural,PHH
0,2,0,other,4.0,daily_wage,0,0,rural,PHH
0,3,0,other,3.5,homemaker,0,0,rural,PHH
0,4,0,other,4.0,homemaker,0,0,rural,PHH
0,4,0,other,3.0,homemaker,0,0,rural,PHH
0,6,0,dilapidated,4.0,unemployed,0,0,rural,PHH
0,2,0,other,8.0,homemaker,0,0,rural,PHH
0,1,0,other,3.5,unemployed,0,0,rural,PHH
0,1,0,dilapidated,1.0,homemaker,0,0,rural,PHH
0,2,0,other,9.0,homemaker,0,0,rural,PHH
0,1,0,other,2.0,unemployed,0,0,rural,PHH
0,5,0,other,7.0,not_applicable,0,0,rural,PHH
0,1,0,other,2.0,homemaker,0,0,rural,PHH
0,2,0,other,4.0,homemaker,0,0,rural,PHH
0,2,0,other,3.0,homemaker,0,0,rural,PHH
0,2,0,other,4.5,homemaker,0,0,rural,PHH
0,2,0,other,3.0,homemaker,0,0,rural,PHH
0,1,0,other,8.0,daily_wage,0,0,rural,PHH
0,3,0,other,5.0,homemaker,0,0,rural,PHH
0,3,0,other,5.0,homemaker,0,0,rural,PHH
